name,h_index,h_index_rank,total_citation_count,total_paper_count,institution
Patrick von Platen,14,455.0,5664,41,
Diba Mirza,14,455.0,1400,34,
Elif Ozkirimli,14,455.0,858,42,
Mourad Abbas,14,455.0,740,46,
David G. Dobolyi,14,455.0,7507,27,
Michael A. Hedderich,14,455.0,682,37,
Chaoyang He,14,455.0,947,28,
Daniel Coelho de Castro,14,455.0,2089,29,Microsoft Research
Swabha Swayamdipta,14,455.0,1401,20,
James Thorne,14,455.0,1306,21,
Debajyoti Datta,14,455.0,6111,59,
Ishaan Gulrajani,14,455.0,16480,23,
He He,14,455.0,1413,17,
J. Finkel,14,455.0,12350,23,
Andrea Galassi,14,455.0,983,41,"University of Bologna p=8,33,6,5,17,18,34,30,10"
Francesco Barbieri,13,473.0,1623,24,
Chengwei Qin,13,473.0,1437,24,
Yizhi Li,13,473.0,500,37,University of Manchester
Sheng Zha,13,473.0,887,25,
P. Szolovits,13,473.0,1099,27,
Victor Sanh,13,473.0,11871,36,
Majid Yazdani,13,473.0,1013,32,"Facebook AI, EPFL, Linkedin, Idiap research institute"
Rotem Dror,13,473.0,1006,20,
Yuqi Si,13,473.0,1157,25,
Marcos Vinícius Treviso,13,473.0,874,27,
Jieyu Zhao,13,473.0,4127,34,UCLA
Cristina Palomares,13,473.0,501,36,
Sam Shleifer,13,473.0,8214,43,
A. A. Monem,13,473.0,903,27,
P. Crutchley,13,473.0,1510,21,
C. Dreisbach,13,473.0,991,45,
Frank Zimmer,13,473.0,671,33,
Mariya Toneva,13,473.0,1580,37,Carnegie Mellon University
Mai Elsherief,13,473.0,1579,21,
Leon Weber,13,473.0,3342,22,Humboldt-Universität zu Berlin
Akira Murakami,13,473.0,710,22,
Michael Yeomans,13,473.0,1016,38,
Faical Azouaou,13,473.0,592,40,"ESI Ecole nationale superieure d'informatique, Algiers, Algeria"
Ossama Obeid,13,473.0,832,24,
Yutai Hou,13,473.0,1098,29,
Alex B. Fine,13,473.0,1343,25,
Tatiana Kelil,13,473.0,808,40,
Nelson F. Liu,13,473.0,4839,20,Stanford University
M. Carson,13,473.0,664,40,
K. Meichanetzidis,13,473.0,613,45,
Yannis Katsis,13,473.0,794,50,
R. Taylor,13,473.0,1615,29,
D. Milne,13,473.0,822,21,
Meng Yang,13,473.0,750,74,
Hiroaki Hayashi,13,473.0,5345,20,Carnegie Mellon University
Mark O Walderhaug,13,473.0,940,20,
Yufen Huang,12,509.0,458,16,
Victor Sanh,12,509.0,4065,19,
Sarah Wiegreffe,12,509.0,3439,24,
S. Yih,12,509.0,1562,25,
E. Artemova,12,509.0,646,52,
Ming Liu,12,509.0,469,23,
Kun Qian,12,509.0,761,53,
Wenhu Chen,12,509.0,732,22,
Amit Moryossef,12,509.0,682,29,
Qiang Wei,12,509.0,1201,31,
Dima Taji,12,509.0,1314,22,
Bo Long,12,509.0,675,29,
Ariel Goldstein,12,509.0,1139,32,
Yu Gu,12,509.0,1996,20,
Yi-Ting Guo,12,509.0,485,57,
Kiran Khatter,12,509.0,1209,37,
Haibin Lin,12,509.0,2625,18,
David Weiss,12,509.0,2154,13,
Vera Sorin,12,509.0,765,28,
Zita Marinho,12,509.0,698,23,
B. White,12,509.0,1702,67,
Paul R. Kingsbury,12,509.0,4572,23,
V. Cavalli-Sforza,12,509.0,608,54,
Irene Li,12,509.0,1408,34,
A. Kumar,12,509.0,1472,27,
Shannon L. Spruit,12,509.0,2015,31,
Alexandru Salcianu,12,509.0,1275,17,
S. Sangeetha,12,509.0,778,39,"National Institute of Technology, Tiruchirappalli"
Rémi Louf,12,509.0,2862,37,
Jia-Hong Huang,12,509.0,379,18,
Asahi Ushio,12,509.0,522,27,
Kexin Yang,12,509.0,651,23,Sichuan University
Carly D. Robinson,12,509.0,570,48,
John Bauer,11,542.0,9389,15,
Ergin Soysal,11,542.0,762,29,
Gunjan Chhablani,11,542.0,4861,28,
O. Kononova,11,542.0,2049,52,
A. Thakur,11,542.0,1180,26,
Zhile Yang,11,542.0,392,37,
Kianté Brantley,11,542.0,758,32,
R. Forshee,11,542.0,931,21,
Zhi Zhang,11,542.0,2224,13,
Daniel Loureiro,11,542.0,1069,25,Cardiff University
T. Arnold,11,542.0,1030,59,
Jingbo Xia,11,542.0,771,55,Huazhong Agricultural Univ
Martin Müller,11,542.0,787,14,
J. Plu,11,542.0,2833,71,
Yuexiong Ding,11,542.0,937,24,
Zhaoxuan Tan,11,542.0,589,27,University of Notre Dame
Alexis Toumi,11,542.0,491,27,
Angelina McMillan-Major,11,542.0,7305,15,
Elior Sulem,11,542.0,1577,18,
G. Felice,11,542.0,513,40,
Benedikt Boecking,11,542.0,648,19,
Zach Wood-Doughty,11,542.0,635,28,
Zhongyue Zhang,11,542.0,4893,20,
Jan A. Botha,11,542.0,1867,16,
Daniel J. Feller,11,542.0,798,23,
Meliha Yetisgen,11,542.0,619,44,
James Bradbury,11,542.0,49719,23,
Yunfan Shao,11,542.0,2816,24,Fudan University
Kun Wang,10,570.0,517,26,
B. Kawas,10,570.0,636,22,
Mai Oudah,10,570.0,538,18,
Xiangyang Liu,10,570.0,1985,15,Fudan University
Weizhe Yuan,10,570.0,4826,23,
H. Al-Khalifa,10,570.0,498,40,
Mariano Schain,10,570.0,664,24,
Kory Kreimeyer,10,570.0,688,27,
D. Summers-Stay,10,570.0,3584,40,
Lucia Specia,10,570.0,378,31,
K. Abid,10,570.0,861,53,
Tom Young,10,570.0,4389,14,
A. Torfi,10,570.0,671,25,
Lukas Lange,10,570.0,554,31,
Huadong Wang,10,570.0,812,21,
Keletso J. Letsholo,10,570.0,431,19,
Zhanghao Wu,10,570.0,4395,13,
Rajkumar Ramamurthy,10,570.0,1057,36,
John Giorgi,10,570.0,3267,21,"University of Toronto, Donnelly Centre for Cellular and Biomolecular Research, Vector Institute for Artificial Intelligence"
I. Guellil,10,570.0,426,23,
Ryan Leary,10,570.0,1533,12,
Jackie Ayoub,10,570.0,469,16,
Dhanya Sridhar,10,570.0,527,14,
Samuel A. Nastase,10,570.0,648,35,
Alexander Erdmann,10,570.0,639,16,
Javier Alvarez-Valle,10,570.0,584,25,
Yu Chen,10,570.0,1113,16,
I. Trofimov,10,570.0,351,26,
Y. Haralambous,10,570.0,621,92,
Qingqing Cao,9,599.0,386,16,University of Washington
Simon Ott,9,599.0,2460,12,
Xiaowei Luo,9,599.0,336,13,
Yijun Xiao,9,599.0,615,13,
Alisa Liu,9,599.0,3209,15,University of Washington
Pedro Henrique Martins,9,599.0,641,15,
Jingjing Li,9,599.0,552,24,
Marzieh Saeidi,9,599.0,629,18,
Shuai Zheng,9,599.0,518,18,
G. Kitchen,9,599.0,455,24,
Daniel King,9,599.0,1050,13,Databricks
Marc Pàmies,9,599.0,2634,12,
Jian Guo,9,599.0,942,12,
Quentin Lhoest,9,599.0,4999,18,
Tanmay Basu,9,599.0,434,29,
Sumit Pandey,9,599.0,691,45,
P. Kłosowski,9,599.0,219,28,
L. Siddharth,9,599.0,295,18,
Xiaoyu Li,9,599.0,366,19,
Kayo Yin,9,599.0,543,11,École Polytechnique
Abhik Jana,9,599.0,410,26,
A. Nori,9,599.0,1073,15,
Sonit Singh,9,599.0,223,20,
Nikita Klyuchnikov,9,599.0,331,22,
M. Oussalah,9,599.0,472,44,
Stefano Mangini,9,599.0,308,12,
Philipp Schmid,9,599.0,1116,15,
Ivano Lauriola,9,599.0,616,36,
M. Fedorov,9,599.0,462,15,
Jenny Chim,9,599.0,3226,13,
C. Lemey,9,599.0,712,24,
Betty van Aken,9,599.0,616,13,Beuth University of Applied Sciences Berlin
Bohan Li,9,599.0,498,23,
M. Wetscherek,9,599.0,496,14,
Ze Gong,9,599.0,328,19,
A. Price,9,599.0,921,15,
Orin Hargraves,8,635.0,719,26,
Zaid Zada,8,635.0,431,19,Princeton University
Yuan Jin,8,635.0,359,12,
Surabhi Datta,8,635.0,528,16,
Oscar Sainz,8,635.0,1334,15,University of the Basque Country
Shankai Yan,8,635.0,1095,22,
Jie Ma,8,635.0,683,12,Amazon
Katherine A. Keith,8,635.0,511,17,Williams College
J. Hochgesang,8,635.0,326,28,
Bashar Alhafni,8,635.0,557,15,
Víctor Suárez-Paniagua,8,635.0,366,20,
Eliav Buchnik,8,635.0,445,19,
T. Manjunath,8,635.0,180,31,
E. Pons,8,635.0,640,12,
Jing Qian,8,635.0,814,10,University of California Santa Barbara
Khanh Nguyen,8,635.0,656,15,"University of California, Berkeley"
Hakime Öztürk,8,635.0,1662,11,
Shamik Bose,8,635.0,2659,18,
Chu-Ren Huang,8,635.0,267,58,
R. Piedeleu,8,635.0,352,25,
Z. Bilgrami,8,635.0,265,34,
Lewis Tunstall,8,635.0,1200,10,
Erol-Valeriu Chioasca,8,635.0,248,9,
Shruthi Bannur,8,635.0,547,17,
Waad Alhoshan,8,635.0,392,13,
Trishala Neeraj,8,635.0,5552,15,
Ji Ma,8,635.0,294,12,Google Inc
N. Khan,8,635.0,285,17,
Annika Marie Schoene,8,635.0,391,22,University of Hull
Reid Pryzant,8,635.0,717,10,
Seyedmostafa Sheikhalishahi,8,635.0,635,16,
Chi-Min Chan,8,635.0,1495,17,
M. Alkhatib,8,635.0,309,34,
Mark Neumann,8,635.0,14436,16,Allen Institute for AI
Robert Tinn,7,669.0,1953,15,
Sarvesh Soni,7,669.0,477,12,"National Library of Medicine, National Institutes of Health"
Go Inoue,7,669.0,475,9,MBZUAI
Michael Hassid,7,669.0,281,9,
L. Tilton,7,669.0,406,34,
Zongcheng Ji,7,669.0,589,8,
T. M. Herr,7,669.0,406,16,
Damien Nouvel,7,669.0,285,39,
Taylor C. Ryan,7,669.0,444,12,
Dimosthenis Antypas,7,669.0,235,19,
ZiHang Zeng,7,669.0,250,13,
Joe Davison,7,669.0,2889,30,
Ekta Sood,7,669.0,245,14,
Heng Zhang,7,669.0,284,12,
Manuel R. Ciosici,7,669.0,203,16,
Yacine Jernite,7,669.0,2376,49,
Thomas Wolf,7,669.0,2264,54,
Bobbi Aubrey,7,669.0,417,14,
Canwen Xu,7,669.0,2265,41,
Julien Chaumond,7,669.0,9931,34,
Loes M. M. Braun,7,669.0,559,21,
Mariam Zomorodi,7,669.0,129,13,
Edward Kim,7,669.0,1203,12,
R. H. Perlis,7,669.0,289,20,
Meagan Vigus,7,669.0,174,12,
Sarah Moeller,7,669.0,173,14,
Bhargav Srinivasa Desikan,7,669.0,172,12,EPFL
Dongjin Choi,7,669.0,165,16,
Kasia Hitczenko,7,669.0,237,21,
Anna Schmidt,7,669.0,1401,8,
M. Chary,7,669.0,271,16,
Leonard Lausen,7,669.0,1123,13,
Yanis Labrak,7,669.0,2529,15,
Andrew Cowell,7,669.0,244,21,
Kiamehr Rezaee,7,669.0,247,14,
Qi Liu,6,704.0,336,9,
Stas Bekman,6,704.0,3061,16,
Sandra F. Jones,6,704.0,575,9,
Romain Paulus,6,704.0,3023,8,
Tony Sun,6,704.0,1056,7,
Segev Shlomov,6,704.0,1000,24,
Ziqing Liu,6,704.0,227,7,
Yu Deng,6,704.0,216,17,
Pattarawat Chormai,6,704.0,163,8,
Neha Verma,6,704.0,528,12,
Marianna Nezhurina,6,704.0,2409,6,
Samuele Garda,6,704.0,2348,16,
Clement Delangue,6,704.0,3044,13,
Peerat Limkonchotiwat,6,704.0,170,33,
Heng Wang,6,704.0,299,8,Xi'an Jiaotong University
Md Saroar Jahan,6,704.0,308,17,
Hanrui Wang,6,704.0,1793,12,
A. Bakalov,6,704.0,388,14,
Hulin Wang,6,704.0,237,10,
Shijie Chen,6,704.0,504,11,The Ohio State University
Binggui Zhou,6,704.0,219,22,
Shenyu Xu,6,704.0,172,6,
Akshay Kulkarni,6,704.0,144,27,
Ning Dai,6,704.0,1689,22,Oregon State University
Tim Schopf,6,704.0,190,16,Technical University of Munich
Katikapalli Subramanyam Kalyan,6,704.0,515,8,NIT Trichy
Fadhl Eryani,6,704.0,568,12,
V. Prabhakaran,6,704.0,146,11,
Wojciech Kusa,6,704.0,2336,30,TU Wien
R. Billot,6,704.0,399,13,
Ji-Ung Lee,6,704.0,161,13,
Adarsha Shivananda,6,704.0,140,24,
Adil E. Rajput,6,704.0,196,18,
Dipanjan Sarkar,6,704.0,346,25,
Billel Gueni,6,704.0,276,7,
Yaser Keneshloo,6,704.0,767,9,
Juraj Vladika,6,704.0,157,21,
Minh Chien Vu,6,704.0,2623,11,
Linh Le,6,704.0,102,15,
Karolina Stańczak,6,704.0,180,10,Mila;McGill University
Rouzbeh A. Shirvani,6,704.0,297,12,
Lysandre Debut,6,704.0,9417,65,
Eli Lifland,6,704.0,971,7,Ought
Joel Grus,6,704.0,1680,11,
A. Rajasekharan,6,704.0,501,12,
Charin Polpanumas,6,704.0,260,10,
Minh Nguyen,6,704.0,287,8,
Natasha Seelam,6,704.0,2299,7,
Rosa Vallejos,6,704.0,185,35,
H. Saadane,6,704.0,276,12,
Ying Xie,6,704.0,302,25,
Weisi Guo,6,704.0,701,25,
Prof. K. R. Chowdhary,6,704.0,229,26,M B M Engineering College
Julia El Zini,6,704.0,166,16,
Jinbin Bai,6,704.0,217,9,
Hang Dong,6,704.0,276,10,
Robert Martin,6,704.0,2398,6,
James H. Martin,6,704.0,163,10,
Zhenhao Li,6,704.0,292,14,Imperial College London
Yige Xu,6,704.0,3005,10,Nanyang Technological University
Shucheng Li,5,764.0,386,12,Nanjing University
Mikhail Salnikov,5,764.0,169,8,Skoltech
Arlene Casey,5,764.0,210,24,
David Chang,5,764.0,228,8,
Zhao Cai,5,764.0,356,37,
Dotan Emanuel,5,764.0,617,10,
Jason Bolton,5,764.0,2229,8,
Yaqi Xie,5,764.0,348,10,
Peratham Wiriyathammabhum,5,764.0,106,15,
Ayush Singh,5,764.0,95,12,
Alexander M. Rush,5,764.0,2280,10,
Pratik Ratadiya,5,764.0,106,10,
M. Foster,5,764.0,529,9,
Liping Zhao,5,764.0,187,9,
Luis Espinosa-Anke,5,764.0,819,10,
Abhishek Pandey,5,764.0,547,10,
A. Alhazmi,5,764.0,816,15,
Yejin Choi,5,764.0,261,11,
Shubhanshu Mishra,5,764.0,140,17,
Dan Roth,5,764.0,1760,9,
Kenneth Lai,5,764.0,140,22,
Can Udomcharoenchaikit,5,764.0,147,24,
D. Hartung,5,764.0,357,15,
Kaiji Lu,5,764.0,377,9,
Barbara J. Grosz,5,764.0,5248,10,
Qingqing Zhu,5,764.0,279,12,
M. V. Koroteev,5,764.0,229,14,
Jonathan J. Marsh,5,764.0,351,7,
Lalita Lowphansirikul,5,764.0,221,8,
Kaiyue Wen,5,764.0,245,10,
Jun Wang,5,764.0,189,8,
Katarzyna Biesialska,5,764.0,300,7,
Magdalena Biesialska,5,764.0,721,15,
John Moore,5,764.0,372,18,
S. Siddiqui,5,764.0,119,6,
Brian N. Larson,5,764.0,171,14,Texas A&M University School of Law
T. Buhrmann,5,764.0,668,12,
E. Davidson,5,764.0,310,11,
Kai Shen,5,764.0,341,9,
Jin Yong Yoo,5,764.0,979,8,
Osman Guzide,5,764.0,160,27,
M. S. Hussain,5,764.0,438,5,
Antoine Bosselut,5,764.0,304,11,
Erik W. Kuiler,5,764.0,131,19,
Shi Wang,5,764.0,79,5,
Nikola Tulechki,4,809.0,198,7,
Michael R. Lucas,4,809.0,1636,4,Truveta
Deepa Yogish,4,809.0,63,11,
Mohammed A. M.Sadeeq,4,809.0,208,5,
A. Urieli,4,809.0,198,9,
Sukhdev Singh,4,809.0,959,4,
Clara Ma,4,809.0,1997,28,
Ruisi Su,4,809.0,2372,7,
Karan Jain,4,809.0,484,6,
Zengle Ren,4,809.0,178,5,
Sylvain Gugger,4,809.0,2548,31,
Honghan Wu,4,809.0,194,25,
Mariama Drame,4,809.0,2548,24,
Muideen A. Ajagbe,4,809.0,298,5,
Deok-Hee Kim-Dufor,4,809.0,331,11,
Everton da S. Maldonado,4,809.0,440,5,
Jonas Golde,4,809.0,2241,9,
Joanne Boisson,4,809.0,177,13,
Yixin Li,4,809.0,213,6,
X. J. Yang,4,809.0,340,5,
Benjamin Rosand,4,809.0,290,6,
Stella Ho,4,809.0,134,9,
Wannaphong Phatthiyaphaibun,4,809.0,118,16,
Mario vSavsko,4,809.0,2922,4,
Phillip Schneider,4,809.0,96,17,
N. Broad,4,809.0,2243,5,
Zainab F. Khan,4,809.0,161,4,
J. V. Gysel,4,809.0,96,4,
Bo Wang,4,809.0,2315,4,
Simon Tannert,4,809.0,137,7,
Hang Li,4,809.0,453,12,
A. Nik,4,809.0,46,4,
Dan Schwartz,4,809.0,105,4,
Andrew Gaut,4,809.0,607,8,
Junyu Chen,4,809.0,488,7,
Faizan Ahmad,4,809.0,99,8,
Michael Schmitz,4,809.0,2211,8,Allen Institute for AI
Ning Shi,4,809.0,131,13,
Fabio Barth,4,809.0,2255,11,
Pierric Cistac,4,809.0,2545,11,
Patrick Haller,4,809.0,2264,8,
M. Hunink,4,809.0,517,6,
D. Tsarapatsanis,4,809.0,709,19,
Xiao Li,3,852.0,152,5,
N. Dahlberg,3,852.0,2271,7,
Muhammed Yavuz Nuzumlali,3,852.0,183,3,
Aditya Malte,3,852.0,88,6,
Anthony Moi,3,852.0,1986,20,
M. Freidank,3,852.0,2247,6,
N. Patry,3,852.0,2963,9,
T. Naumann,3,852.0,188,5,
Gwendolyn Halford,3,852.0,839,4,
Shirlyn Tang,3,852.0,566,3,
Sid Kiblawi,3,852.0,2290,7,
Fangjing Wu,3,852.0,363,6,
Michael Cullan,3,852.0,2233,7,
A. Le Glaz,3,852.0,355,4,
Deven Santosh Shah,3,852.0,259,7,Stony Brook University
S. S. Mousavi,3,852.0,53,9,
Dan Otter,3,852.0,1284,3,
L. Huang,3,852.0,69,7,
Benjamin Beilharz,3,852.0,2255,3,Technical University of Darmstadt
Tianchu Ji,3,852.0,126,4,
Saumil Parikh,3,852.0,81,12,
Zhaorong Zong,3,852.0,64,5,
Myungsun Kang,3,852.0,2249,5,
Mario Sanger,3,852.0,2233,3,
Julian R. Medina,3,852.0,1291,3,
Gabriel Altay,3,852.0,2239,7,
Feng Zhou,3,852.0,221,7,
C. Raynal,3,852.0,205,5,
Sarah Al-Adely,3,852.0,1745,4,
Jayeol Chun,3,852.0,187,5,
Y. Vasiliev,3,852.0,108,19,
Emaad A. Manzoor,3,852.0,235,7,
Jiarui Yao,3,852.0,102,7,
M. Abbaszade,3,852.0,53,5,
Dongyang Wang,3,852.0,218,5,
Xujuan Zhou,3,852.0,63,10,
K. Sharou,3,852.0,62,6,
Bhavitvya Malik,3,852.0,583,8,
Mengqi Wang,3,852.0,95,5,
Tim Rault,3,852.0,1987,17,
Bo Zhao,3,852.0,371,5,
Sangchul Hahn,3,852.0,148,6,
Yue Kang,3,852.0,296,4,
James F. Martin,3,852.0,87,19,
Jeremy Goldwasser,3,852.0,164,10,
Arthit Suriyawongkul,3,852.0,119,10,ADAPT Centre
Karthi Sivaraman,3,852.0,2319,3,
Zhenzhu Yang,3,852.0,621,4,
Yuxin Huang,3,852.0,569,4,
Ke Xu,3,852.0,100,5,
Maged S. Alshaibani,3,852.0,84,3,
Suraj Patil,2,903.0,562,5,
Wiebke Wagner,2,903.0,2961,4,
Korakot Chaovavanich,2,903.0,87,3,
Helen Christensen,2,903.0,309,2,
Rafael A. Calvo,2,903.0,310,3,
Changchun Hong,2,903.0,49,5,
A. Bashall,2,903.0,122,4,
Elizabeth Scruggs,2,903.0,166,4,
Eric Hermann,2,903.0,169,5,
Hanning Gao,2,903.0,268,8,
Daniel Le'on Perin'an,2,903.0,2229,2,
Théo Gigant,2,903.0,2229,4,
Hongbin Yu,2,903.0,99,3,
Diksha Khurana,2,903.0,922,2,
Gongcheng Wang,2,903.0,69,3,
W. Thompson,2,903.0,169,2,
Victor Mustar,2,903.0,581,2,
Mong Yuan Sim,2,903.0,37,3,
Shlok S Deshmukh,2,903.0,2229,2,
John W. Ricketts,2,903.0,627,4,
周春婷,2,903.0,59,2,
Michael Karlen,2,903.0,7712,2,
Helen O'Horan,2,903.0,183,3,
Morgan Funtowicz,2,903.0,1884,5,
G. Baumer,2,903.0,426,2,
Jessica Pan,2,903.0,337,3,
J. Posada,2,903.0,2232,8,
Chen Luo,2,903.0,481,3,
Talayeh Riahi,2,903.0,118,3,
Beatrice Alex,2,903.0,134,9,
François Lagunas,2,903.0,770,4,
Simon Brandeis,2,903.0,563,3,
Tongyao Zhu,2,903.0,135,2,
Yuki Sawa,2,903.0,176,2,
Ping Li,2,903.0,77,8,
Juan Xu,2,903.0,121,7,
Gonzalo Medina,2,903.0,139,2,
Nina Arya,2,903.0,463,3,
Junli Su,2,903.0,95,3,
Richard F. Rashid,2,903.0,184,2,
Swathi Edem,2,903.0,70,5,
Chenyao Yu,2,903.0,138,5,
Sumaya Alameri,1,945.0,102,1,
Shaochun Hao,1,945.0,32,1,
Bukuroshe Elira Epoka,1,945.0,63,1,
H. Khan,1,945.0,55,1,
Asma Khan,1,945.0,55,1,
Nader Tavvaf,1,945.0,195,1,
José Alejandro Ruiz,1,945.0,158,1,
th Karzan,1,945.0,135,1,
Adrián Pastor Cimat,1,945.0,158,1,
Lotem Peled-Cohen,1,945.0,45,2,
Guangzheng Xiong,1,945.0,32,2,
Andreas Grivas,1,945.0,130,7,
Yiyun Zhou,1,945.0,42,1,
Aditya Koli,1,945.0,917,1,
A. Sharma,1,945.0,74,2,
Ray Oshikawa,1,945.0,294,2,
Th'eo Matussiere,1,945.0,559,2,
Yu,1,945.0,92,2,
Philipp Mueller,1,945.0,67,2,
Daniel Duma,1,945.0,129,1,
Jael Pérez Sánchez,1,945.0,158,1,
C. Manning,1,945.0,53,6,
Consiglio,1,945.0,121,1,
Adam L. Berger,1,945.0,3605,1,
Hussen Maulud,1,945.0,135,1,
Kanchan M.Tarwani,1,945.0,66,1,
Richard Tobin,1,945.0,129,5,
Preetam Amancharla,1,945.0,334,1,
Huseein T. Al-Natsheh,1,945.0,96,1,
Andre F. T. Martin,1,945.0,231,1,
Lauritz Gerlach,1,945.0,45,1,
st Dastan,1,945.0,135,1,
Isabelle Augenstein,1,945.0,56,1,
Jacob Russell Neterer,1,945.0,102,1,
Matthew Zhang,1,945.0,144,1,
Mrs . Indu,1,945.0,31,1,
Meng Wang,1,945.0,114,1,
Hussein Sharif,1,945.0,135,1,
Wai Pan Wong,1,945.0,145,2,
Ms. Aswathy,1,945.0,31,1,
S. Nair,1,945.0,31,1,
Thibault Goehringer,1,945.0,559,2,
Ilana Heinz,1,945.0,902,1,
Qiong Wang,1,945.0,341,1,
Tianrui Peng,1,945.0,146,1,
Michael Elhadad,1,945.0,1651,1,
Pranav Kaushik,1,945.0,75,3,
Saskia Locke,1,945.0,111,1,
Tatjana Schindler,1,945.0,76,1,
†. AlessioFerrari,1,945.0,121,1,
Thanathip Suntorntip,1,945.0,83,1,
Sheng Yu,1,945.0,179,2,
Jonathan Pelham,1,945.0,624,2,
Michael Tin Chung Poon,1,945.0,129,1,
Hayley Ross,1,945.0,903,3,
David Barry,1,945.0,624,2,
